inputX outputFx trueFx diffFx
4.238 -0.182 -0.210 0.028
4.248 -0.182 -0.210 0.028
4.258 -0.183 -0.211 0.028
4.268 -0.183 -0.212 0.029
4.277 -0.183 -0.212 0.029
4.287 -0.183 -0.212 0.030
4.297 -0.183 -0.213 0.030
4.307 -0.183 -0.213 0.030
4.316 -0.183 -0.214 0.031
4.326 -0.183 -0.214 0.031
4.336 -0.183 -0.214 0.031
4.346 -0.183 -0.215 0.031
4.355 -0.184 -0.215 0.032
4.365 -0.184 -0.215 0.032
4.375 -0.184 -0.216 0.032
4.385 -0.184 -0.216 0.032
4.395 -0.184 -0.216 0.032
4.404 -0.184 -0.216 0.032
4.414 -0.184 -0.217 0.032
4.424 -0.184 -0.217 0.032
4.434 -0.184 -0.217 0.033
4.443 -0.184 -0.217 0.033
4.453 -0.185 -0.217 0.033
4.463 -0.185 -0.217 0.033
4.473 -0.185 -0.217 0.032
4.482 -0.185 -0.217 0.032
4.492 -0.185 -0.217 0.032
4.502 -0.185 -0.217 0.032
4.512 -0.185 -0.217 0.032
4.521 -0.185 -0.217 0.032
4.531 -0.185 -0.217 0.032
4.541 -0.185 -0.217 0.032
4.551 -0.186 -0.217 0.031
4.561 -0.186 -0.217 0.031
4.570 -0.186 -0.217 0.031
4.580 -0.186 -0.216 0.031
4.590 -0.186 -0.216 0.030
4.600 -0.186 -0.216 0.030
4.609 -0.186 -0.216 0.030
4.619 -0.186 -0.216 0.029
4.629 -0.186 -0.215 0.029
4.639 -0.186 -0.215 0.029
4.648 -0.186 -0.215 0.028
4.658 -0.187 -0.214 0.028
4.668 -0.187 -0.214 0.027
4.678 -0.187 -0.214 0.027
4.688 -0.187 -0.213 0.026
4.697 -0.187 -0.213 0.026
4.707 -0.187 -0.212 0.025
4.717 -0.187 -0.212 0.025
4.727 -0.187 -0.212 0.024
4.736 -0.187 -0.211 0.024
4.746 -0.187 -0.211 0.023
4.756 -0.188 -0.210 0.023
4.766 -0.188 -0.210 0.022
4.775 -0.188 -0.209 0.021
4.785 -0.188 -0.208 0.021
4.795 -0.188 -0.208 0.020
4.805 -0.188 -0.207 0.019
4.814 -0.188 -0.207 0.018
4.824 -0.188 -0.206 0.018
4.834 -0.188 -0.205 0.017
4.844 -0.188 -0.205 0.016
4.854 -0.189 -0.204 0.015
4.863 -0.189 -0.203 0.015
4.873 -0.189 -0.203 0.014
4.883 -0.189 -0.202 0.013
4.893 -0.189 -0.201 0.012
4.902 -0.189 -0.200 0.011
4.912 -0.189 -0.200 0.010
4.922 -0.189 -0.199 0.010
4.932 -0.189 -0.198 0.009
4.941 -0.189 -0.197 0.008
4.951 -0.190 -0.196 0.007
4.961 -0.190 -0.195 0.006
4.971 -0.190 -0.195 0.005
4.980 -0.190 -0.194 0.004
4.990 -0.190 -0.193 0.003
5.000 -0.190 -0.192 0.002
5.010 -0.189 -0.191 0.002
5.020 -0.187 -0.190 0.003
5.029 -0.186 -0.189 0.003
5.039 -0.184 -0.188 0.004
5.049 -0.183 -0.187 0.004
5.059 -0.181 -0.186 0.005
5.068 -0.180 -0.185 0.005
5.078 -0.178 -0.184 0.006
5.088 -0.177 -0.183 0.006
5.098 -0.175 -0.182 0.006
5.107 -0.174 -0.181 0.007
5.117 -0.172 -0.180 0.007
5.127 -0.171 -0.179 0.008
5.137 -0.169 -0.177 0.008
5.146 -0.168 -0.176 0.008
5.156 -0.167 -0.175 0.009
5.166 -0.165 -0.174 0.009
5.176 -0.164 -0.173 0.009
5.186 -0.162 -0.172 0.009
5.195 -0.161 -0.170 0.010
5.205 -0.159 -0.169 0.010
5.215 -0.158 -0.168 0.010
5.225 -0.156 -0.167 0.011
5.234 -0.155 -0.166 0.011
5.244 -0.153 -0.164 0.011
5.254 -0.152 -0.163 0.011
5.264 -0.150 -0.162 0.011
5.273 -0.149 -0.161 0.012
5.283 -0.148 -0.159 0.012
5.293 -0.146 -0.158 0.012
5.303 -0.145 -0.157 0.012
5.312 -0.143 -0.155 0.012
5.322 -0.142 -0.154 0.012
5.332 -0.140 -0.153 0.012
5.342 -0.139 -0.151 0.013
5.352 -0.137 -0.150 0.013
5.361 -0.136 -0.149 0.013
5.371 -0.134 -0.147 0.013
5.381 -0.133 -0.146 0.013
5.391 -0.131 -0.144 0.013
5.400 -0.130 -0.143 0.013
5.410 -0.128 -0.142 0.013
5.420 -0.127 -0.140 0.013
5.430 -0.126 -0.139 0.013
5.439 -0.124 -0.137 0.013
5.449 -0.123 -0.136 0.013
5.459 -0.121 -0.134 0.013
