in1 in2 in3 in4 in5 out
-0.150 0.000 1.500 -1.500 1.250 -8.257
-0.150 0.000 1.500 0.000 0.500 -0.125
-0.150 0.000 1.500 0.000 0.750 -0.597
-0.150 0.000 1.500 0.000 1.000 -1.104
-0.150 0.000 1.500 0.000 1.250 -1.557
-0.150 0.000 1.500 1.500 0.500 5.543
-0.150 0.000 1.500 1.500 0.750 5.424
-0.150 0.000 1.500 1.500 1.000 5.293
-0.150 0.000 1.500 1.500 1.250 5.143
-0.150 0.500 -3.000 -3.000 0.500 -22.686
-0.150 0.500 -3.000 -3.000 0.750 -22.918
-0.150 0.500 -3.000 -3.000 1.000 -23.154
-0.150 0.500 -3.000 -3.000 1.250 -23.207
-0.150 0.500 -3.000 -1.500 0.500 -17.018
-0.150 0.500 -3.000 -1.500 0.750 -16.898
-0.150 0.500 -3.000 -1.500 1.000 -16.757
-0.150 0.500 -3.000 -1.500 1.250 -16.506
-0.150 0.500 -3.000 0.000 0.500 -11.350
-0.150 0.500 -3.000 0.000 0.750 -10.877
-0.150 0.500 -3.000 0.000 1.000 -10.361
-0.150 0.500 -3.000 0.000 1.250 -9.806
-0.150 0.500 -3.000 1.500 0.500 -5.682
-0.150 0.500 -3.000 1.500 0.750 -4.857
-0.150 0.500 -3.000 1.500 1.000 -3.964
-0.150 0.500 -3.000 1.500 1.250 -3.106
-0.150 0.500 -1.500 -3.000 0.500 -17.943
-0.150 0.500 -1.500 -3.000 0.750 -18.175
-0.150 0.500 -1.500 -3.000 1.000 -18.411
-0.150 0.500 -1.500 -3.000 1.250 -18.464
-0.150 0.500 -1.500 -1.500 0.500 -12.275
-0.150 0.500 -1.500 -1.500 0.750 -12.155
-0.150 0.500 -1.500 -1.500 1.000 -12.014
-0.150 0.500 -1.500 -1.500 1.250 -11.763
-0.150 0.500 -1.500 0.000 0.500 -6.607
-0.150 0.500 -1.500 0.000 0.750 -6.134
-0.150 0.500 -1.500 0.000 1.000 -5.618
-0.150 0.500 -1.500 0.000 1.250 -5.063
-0.150 0.500 -1.500 1.500 0.500 -0.939
-0.150 0.500 -1.500 1.500 0.750 -0.114
-0.150 0.500 -1.500 1.500 1.000 0.779
-0.150 0.500 -1.500 1.500 1.250 1.637
-0.150 0.500 0.000 -3.000 0.500 -13.200
-0.150 0.500 0.000 -3.000 0.750 -13.432
-0.150 0.500 0.000 -3.000 1.000 -13.668
-0.150 0.500 0.000 -3.000 1.250 -13.721
-0.150 0.500 0.000 -1.500 0.500 -7.532
-0.150 0.500 0.000 -1.500 0.750 -7.412
-0.150 0.500 0.000 -1.500 1.000 -7.271
-0.150 0.500 0.000 -1.500 1.250 -7.020
-0.150 0.500 0.000 0.000 0.500 -1.864
