in1 in2 in3 in4 out
0.300 -1.500 0.040 0.240 -4.461
0.300 -1.500 0.120 -0.400 -2.161
0.300 -1.500 0.120 -0.240 -2.962
0.300 -1.500 0.120 -0.080 -3.747
0.300 -1.500 0.120 0.080 -4.532
0.300 -1.500 0.120 0.240 -5.375
0.300 -0.900 -0.200 -0.400 2.585
0.300 -0.900 -0.200 -0.240 1.807
0.300 -0.900 -0.200 -0.080 1.032
0.300 -0.900 -0.200 0.080 0.277
0.300 -0.900 -0.200 0.240 -0.452
0.300 -0.900 -0.120 -0.400 1.739
0.300 -0.900 -0.120 -0.240 0.955
0.300 -0.900 -0.120 -0.080 0.163
0.300 -0.900 -0.120 0.080 -0.622
0.300 -0.900 -0.120 0.240 -1.374
0.300 -0.900 -0.040 -0.400 0.871
0.300 -0.900 -0.040 -0.240 0.080
0.300 -0.900 -0.040 -0.080 -0.716
0.300 -0.900 -0.040 0.080 -1.509
0.300 -0.900 -0.040 0.240 -2.285
0.300 -0.900 0.040 -0.400 -0.034
0.300 -0.900 0.040 -0.240 -0.832
0.300 -0.900 0.040 -0.080 -1.613
0.300 -0.900 0.040 0.080 -2.382
0.300 -0.900 0.040 0.240 -3.185
0.300 -0.900 0.120 -0.400 -0.917
0.300 -0.900 0.120 -0.240 -1.721
0.300 -0.900 0.120 -0.080 -2.503
0.300 -0.900 0.120 0.080 -3.273
0.300 -0.900 0.120 0.240 -4.098
0.300 -0.300 -0.200 -0.400 3.850
0.300 -0.300 -0.200 -0.240 3.058
0.300 -0.300 -0.200 -0.080 2.265
0.300 -0.300 -0.200 0.080 1.512
0.300 -0.300 -0.200 0.240 0.815
0.300 -0.300 -0.120 -0.400 3.003
0.300 -0.300 -0.120 -0.240 2.203
0.300 -0.300 -0.120 -0.080 1.395
0.300 -0.300 -0.120 0.080 0.611
0.300 -0.300 -0.120 0.240 -0.109
0.300 -0.300 -0.040 -0.400 2.133
0.300 -0.300 -0.040 -0.240 1.326
0.300 -0.300 -0.040 -0.080 0.514
0.300 -0.300 -0.040 0.080 -0.278
0.300 -0.300 -0.040 0.240 -1.023
0.300 -0.300 0.040 -0.400 1.228
0.300 -0.300 0.040 -0.240 0.415
0.300 -0.300 0.040 -0.080 -0.384
0.300 -0.300 0.040 0.080 -1.151
0.300 -0.300 0.040 0.240 -1.922
0.300 -0.300 0.120 -0.400 0.347
0.300 -0.300 0.120 -0.240 -0.473
0.300 -0.300 0.120 -0.080 -1.272
0.300 -0.300 0.120 0.080 -2.041
0.300 -0.300 0.120 0.240 -2.833
0.300 0.300 -0.200 -0.400 5.144
0.300 0.300 -0.200 -0.240 4.319
0.300 0.300 -0.200 -0.080 3.484
0.300 0.300 -0.200 0.080 2.714
0.300 0.300 -0.200 0.240 2.068
0.300 0.300 -0.120 -0.400 4.292
0.300 0.300 -0.120 -0.240 3.460
0.300 0.300 -0.120 -0.080 2.609
0.300 0.300 -0.120 0.080 1.808
0.300 0.300 -0.120 0.240 1.138
0.300 0.300 -0.040 -0.400 3.419
0.300 0.300 -0.040 -0.240 2.579
0.300 0.300 -0.040 -0.080 1.724
0.300 0.300 -0.040 0.080 0.914
0.300 0.300 -0.040 0.240 0.220
0.300 0.300 0.040 -0.400 2.514
0.300 0.300 0.040 -0.240 1.668
0.300 0.300 0.040 -0.080 0.827
0.300 0.300 0.040 0.080 0.042
0.300 0.300 0.040 0.240 -0.679
0.300 0.300 0.120 -0.400 1.636
0.300 0.300 0.120 -0.240 0.784
0.300 0.300 0.120 -0.080 -0.057
0.300 0.300 0.120 0.080 -0.844
0.300 0.300 0.120 0.240 -1.586
0.300 0.900 -0.200 -0.400 6.409
0.300 0.900 -0.200 -0.240 5.569
0.300 0.900 -0.200 -0.080 4.717
0.300 0.900 -0.200 0.080 3.949
0.300 0.900 -0.200 0.240 3.335
0.300 0.900 -0.120 -0.400 5.556
0.300 0.900 -0.120 -0.240 4.708
0.300 0.900 -0.120 -0.080 3.840
0.300 0.900 -0.120 0.080 3.040
0.300 0.900 -0.120 0.240 2.403
0.300 0.900 -0.040 -0.400 4.681
0.300 0.900 -0.040 -0.240 3.826
0.300 0.900 -0.040 -0.080 2.954
0.300 0.900 -0.040 0.080 2.145
0.300 0.900 -0.040 0.240 1.482
0.300 0.900 0.040 -0.400 3.776
0.300 0.900 0.040 -0.240 2.914
0.300 0.900 0.040 -0.080 2.056
0.300 0.900 0.040 0.080 1.272
0.300 0.900 0.040 0.240 0.583
0.300 0.900 0.120 -0.400 2.900
0.300 0.900 0.120 -0.240 2.032
0.300 0.900 0.120 -0.080 1.174
0.300 0.900 0.120 0.080 0.389
0.300 0.900 0.120 0.240 -0.322
0.900 -1.500 -0.200 -0.400 1.982
0.900 -1.500 -0.200 -0.240 1.172
0.900 -1.500 -0.200 -0.080 0.374
0.900 -1.500 -0.200 0.080 -0.355
0.900 -1.500 -0.200 0.240 -1.024
0.900 -1.500 -0.120 -0.400 1.186
0.900 -1.500 -0.120 -0.240 0.357
0.900 -1.500 -0.120 -0.080 -0.478
0.900 -1.500 -0.120 0.080 -1.272
0.900 -1.500 -0.120 0.240 -1.985
0.900 -1.500 -0.040 -0.400 0.372
0.900 -1.500 -0.040 -0.240 -0.486
0.900 -1.500 -0.040 -0.080 -1.348
0.900 -1.500 -0.040 0.080 -2.174
0.900 -1.500 -0.040 0.240 -2.935
0.900 -1.500 0.040 -0.400 -0.472
0.900 -1.500 0.040 -0.240 -1.373
0.900 -1.500 0.040 -0.080 -2.247
0.900 -1.500 0.040 0.080 -3.059
0.900 -1.500 0.040 0.240 -3.872
0.900 -1.500 0.120 -0.400 -1.300
0.900 -1.500 0.120 -0.240 -2.230
0.900 -1.500 0.120 -0.080 -3.129
0.900 -1.500 0.120 0.080 -3.967
0.900 -1.500 0.120 0.240 -4.825
