input1 input2 output
6.812 6.365 0.007
6.812 6.895 0.058
6.812 7.425 0.114
6.812 7.956 0.168
6.812 8.486 0.217
6.812 9.016 0.264
6.812 9.547 0.312
6.812 10.077 0.360
6.812 10.608 0.409
6.812 11.138 0.458
6.812 11.668 0.510
6.812 12.199 0.566
6.812 12.729 0.625
6.812 13.259 0.685
6.812 13.790 0.747
6.812 14.320 0.814
6.812 14.851 0.898
6.812 15.381 1.041
6.812 15.911 1.405
6.812 16.442 2.591
7.540 0.000 -22.477
7.540 0.530 -22.124
7.540 1.061 -20.878
7.540 1.591 -17.869
7.540 2.122 -12.817
7.540 2.652 -7.365
7.540 3.182 -3.176
7.540 3.713 -1.055
7.540 4.243 -0.350
7.540 4.773 -0.110
7.540 5.304 -0.038
7.540 5.834 -0.026
7.540 6.365 -0.015
7.540 6.895 0.024
7.540 7.425 0.081
7.540 7.956 0.141
7.540 8.486 0.191
7.540 9.016 0.237
7.540 9.547 0.285
7.540 10.077 0.335
7.540 10.608 0.385
7.540 11.138 0.439
7.540 11.668 0.497
7.540 12.199 0.556
7.540 12.729 0.616
7.540 13.259 0.677
7.540 13.790 0.742
7.540 14.320 0.819
7.540 14.851 0.935
7.540 15.381 1.172
7.540 15.911 1.845
7.540 16.442 4.113
8.267 0.000 -36.196
8.267 0.530 -35.856
8.267 1.061 -33.942
8.267 1.591 -28.967
8.267 2.122 -20.585
8.267 2.652 -11.747
8.267 3.182 -5.111
8.267 3.713 -1.690
8.267 4.243 -0.524
8.267 4.773 -0.123
8.267 5.304 -0.003
8.267 5.834 0.004
8.267 6.365 -0.010
8.267 6.895 0.009
8.267 7.425 0.062
8.267 7.956 0.122
8.267 8.486 0.174
8.267 9.016 0.219
8.267 9.547 0.267
8.267 10.077 0.318
8.267 10.608 0.371
8.267 11.138 0.429
8.267 11.668 0.490
8.267 12.199 0.551
8.267 12.729 0.611
8.267 13.259 0.674
8.267 13.790 0.748
8.267 14.320 0.852
8.267 14.851 1.032
8.267 15.381 1.434
8.267 15.911 2.603
8.267 16.442 6.575
8.995 0.000 -45.575
8.995 0.530 -45.179
8.995 1.061 -42.793
8.995 1.591 -36.569
8.995 2.122 -26.148
8.995 2.652 -15.222
8.995 3.182 -6.862
8.995 3.713 -2.342
8.995 4.243 -0.745
8.995 4.773 -0.177
8.995 5.304 0.011
8.995 5.834 0.033
8.995 6.365 0.007
8.995 6.895 0.005
8.995 7.425 0.048
8.995 7.956 0.107
8.995 8.486 0.160
8.995 9.016 0.207
8.995 9.547 0.257
8.995 10.077 0.310
8.995 10.608 0.365
8.995 11.138 0.424
8.995 11.668 0.486
8.995 12.199 0.547
8.995 12.729 0.609
8.995 13.259 0.681
8.995 13.790 0.779
8.995 14.320 0.939
8.995 14.851 1.232
8.995 15.381 1.882
