in_n1 in_n2 out1
21.625 4.750 0.541
21.625 5.688 0.653
21.625 6.625 0.752
21.625 7.562 0.836
21.625 8.500 0.903
21.625 9.438 0.953
21.625 10.375 0.984
21.625 11.312 0.998
21.625 12.250 0.993
21.625 13.188 0.972
21.625 14.125 0.935
21.625 15.062 0.883
21.625 16.000 0.815
21.625 16.938 0.757
21.625 17.875 0.703
21.625 18.812 0.649
21.625 19.750 0.596
21.625 20.688 0.543
21.625 21.625 0.491
21.625 22.562 0.441
21.625 23.500 0.393
21.625 24.438 0.346
21.625 25.375 0.303
21.625 26.312 0.263
21.625 27.250 0.226
21.625 28.188 0.194
21.625 29.125 0.165
21.625 30.062 0.140
22.562 1.000 0.047
22.562 1.938 0.148
22.562 2.875 0.265
22.562 3.812 0.386
22.562 4.750 0.503
22.562 5.688 0.612
22.562 6.625 0.710
22.562 7.562 0.794
22.562 8.500 0.864
22.562 9.438 0.917
22.562 10.375 0.953
22.562 11.312 0.973
22.562 12.250 0.976
22.562 13.188 0.965
22.562 14.125 0.938
22.562 15.062 0.898
22.562 16.000 0.845
22.562 16.938 0.786
22.562 17.875 0.730
22.562 18.812 0.674
22.562 19.750 0.619
22.562 20.688 0.564
22.562 21.625 0.510
22.562 22.562 0.458
22.562 23.500 0.406
22.562 24.438 0.357
22.562 25.375 0.311
22.562 26.312 0.269
22.562 27.250 0.230
22.562 28.188 0.196
22.562 29.125 0.166
22.562 30.062 0.141
23.500 1.000 0.020
23.500 1.938 0.115
23.500 2.875 0.227
23.500 3.812 0.342
23.500 4.750 0.454
23.500 5.688 0.560
23.500 6.625 0.656
23.500 7.562 0.739
23.500 8.500 0.809
23.500 9.438 0.864
23.500 10.375 0.904
23.500 11.312 0.928
23.500 12.250 0.938
23.500 13.188 0.934
23.500 14.125 0.917
23.500 15.062 0.888
23.500 16.000 0.847
23.500 16.938 0.789
23.500 17.875 0.732
23.500 18.812 0.676
23.500 19.750 0.620
23.500 20.688 0.565
23.500 21.625 0.510
23.500 22.562 0.457
23.500 23.500 0.404
23.500 24.438 0.354
23.500 25.375 0.307
23.500 26.312 0.263
23.500 27.250 0.223
23.500 28.188 0.188
23.500 29.125 0.158
23.500 30.062 0.133
24.438 1.000 -0.015
24.438 1.938 0.075
24.438 2.875 0.180
24.438 3.812 0.289
24.438 4.750 0.396
24.438 5.688 0.497
24.438 6.625 0.589
24.438 7.562 0.671
24.438 8.500 0.740
24.438 9.438 0.795
24.438 10.375 0.837
24.438 11.312 0.865
24.438 12.250 0.880
24.438 13.188 0.882
24.438 14.125 0.872
24.438 15.062 0.851
24.438 16.000 0.822
24.438 16.938 0.766
24.438 17.875 0.710
24.438 18.812 0.655
24.438 19.750 0.600
24.438 20.688 0.545
24.438 21.625 0.491
24.438 22.562 0.438
24.438 23.500 0.386
24.438 24.438 0.336
24.438 25.375 0.289
24.438 26.312 0.245
24.438 27.250 0.205
24.438 28.188 0.171
24.438 29.125 0.142
24.438 30.062 0.118
25.375 1.000 -0.056
25.375 1.938 0.028
25.375 2.875 0.127
25.375 3.812 0.229
25.375 4.750 0.329
25.375 5.688 0.424
25.375 6.625 0.512
25.375 7.562 0.590
25.375 8.500 0.656
25.375 9.438 0.711
25.375 10.375 0.753
25.375 11.312 0.783
25.375 12.250 0.801
25.375 13.188 0.807
25.375 14.125 0.803
25.375 15.062 0.790
25.375 16.000 0.770
25.375 16.938 0.717
25.375 17.875 0.663
25.375 18.812 0.610
25.375 19.750 0.558
25.375 20.688 0.506
25.375 21.625 0.454
25.375 22.562 0.402
25.375 23.500 0.352
25.375 24.438 0.303
25.375 25.375 0.258
25.375 26.312 0.215
25.375 27.250 0.177
25.375 28.188 0.144
25.375 29.125 0.116
25.375 30.062 0.095
26.312 1.000 -0.103
26.312 1.938 -0.025
26.312 2.875 0.066
26.312 3.812 0.161
26.312 4.750 0.254
26.312 5.688 0.343
26.312 6.625 0.425
26.312 7.562 0.498
26.312 8.500 0.561
26.312 9.438 0.613
26.312 10.375 0.654
26.312 11.312 0.685
26.312 12.250 0.704
26.312 13.188 0.713
26.312 14.125 0.714
26.312 15.062 0.706
26.312 16.000 0.692
26.312 16.938 0.643
26.312 17.875 0.593
26.312 18.812 0.544
26.312 19.750 0.496
26.312 20.688 0.447
26.312 21.625 0.398
26.312 22.562 0.350
