X A B C
2.832 0.436 0.421 0.378
2.852 0.437 0.422 0.380
2.871 0.438 0.424 0.381
2.891 0.439 0.426 0.382
2.910 0.439 0.428 0.384
2.930 0.440 0.430 0.385
2.949 0.441 0.431 0.387
2.969 0.442 0.433 0.388
2.988 0.443 0.435 0.390
3.008 0.444 0.437 0.391
3.027 0.445 0.439 0.393
3.047 0.445 0.441 0.394
3.066 0.446 0.442 0.396
3.086 0.447 0.444 0.397
3.105 0.448 0.446 0.399
3.125 0.449 0.448 0.400
3.145 0.450 0.450 0.402
3.164 0.451 0.451 0.404
3.184 0.452 0.453 0.405
3.203 0.454 0.455 0.407
3.223 0.455 0.457 0.409
3.242 0.456 0.459 0.410
3.262 0.457 0.461 0.412
3.281 0.458 0.462 0.414
3.301 0.459 0.464 0.416
3.320 0.461 0.466 0.418
3.340 0.462 0.468 0.419
3.359 0.463 0.470 0.421
3.379 0.464 0.472 0.423
3.398 0.466 0.474 0.425
3.418 0.467 0.476 0.427
3.438 0.468 0.477 0.429
3.457 0.470 0.479 0.431
3.477 0.471 0.481 0.433
3.496 0.473 0.483 0.435
3.516 0.474 0.485 0.437
3.535 0.476 0.487 0.439
3.555 0.477 0.489 0.441
3.574 0.479 0.491 0.443
3.594 0.481 0.493 0.445
3.613 0.482 0.495 0.447
3.633 0.484 0.497 0.449
3.652 0.486 0.499 0.452
3.672 0.487 0.501 0.454
3.691 0.489 0.503 0.456
3.711 0.491 0.505 0.458
3.730 0.493 0.507 0.461
3.750 0.494 0.509 0.463
3.770 0.496 0.511 0.465
3.789 0.498 0.513 0.468
3.809 0.500 0.515 0.470
3.828 0.502 0.517 0.472
3.848 0.504 0.519 0.475
3.867 0.506 0.521 0.477
3.887 0.508 0.523 0.480
3.906 0.510 0.525 0.482
3.926 0.512 0.527 0.485
3.945 0.515 0.529 0.487
3.965 0.517 0.532 0.490
3.984 0.519 0.534 0.492
4.004 0.521 0.536 0.495
4.023 0.524 0.538 0.497
4.043 0.526 0.540 0.500
4.062 0.528 0.543 0.503
4.082 0.531 0.545 0.505
4.102 0.533 0.547 0.508
4.121 0.535 0.549 0.511
4.141 0.538 0.552 0.513
4.160 0.540 0.554 0.516
4.180 0.543 0.556 0.519
4.199 0.546 0.558 0.522
4.219 0.548 0.561 0.525
4.238 0.551 0.563 0.527
4.258 0.553 0.566 0.530
4.277 0.556 0.568 0.533
4.297 0.559 0.570 0.536
4.316 0.562 0.573 0.539
4.336 0.564 0.575 0.542
4.355 0.567 0.578 0.545
4.375 0.570 0.580 0.548
4.395 0.573 0.582 0.551
4.414 0.576 0.585 0.554
4.434 0.579 0.587 0.557
4.453 0.582 0.590 0.560
4.473 0.585 0.592 0.563
4.492 0.588 0.595 0.566
4.512 0.591 0.597 0.569
4.531 0.594 0.600 0.572
4.551 0.597 0.603 0.575
4.570 0.600 0.605 0.578
4.590 0.603 0.608 0.582
4.609 0.606 0.610 0.585
4.629 0.610 0.613 0.588
4.648 0.613 0.616 0.591
4.668 0.616 0.618 0.594
4.688 0.619 0.621 0.597
4.707 0.623 0.624 0.601
4.727 0.626 0.626 0.604
4.746 0.629 0.629 0.607
4.766 0.633 0.632 0.610
4.785 0.636 0.634 0.614
4.805 0.639 0.637 0.617
4.824 0.643 0.640 0.620
4.844 0.646 0.642 0.623
4.863 0.650 0.645 0.626
4.883 0.653 0.648 0.630
4.902 0.657 0.650 0.633
4.922 0.660 0.653 0.636
4.941 0.664 0.656 0.639
4.961 0.667 0.659 0.643
